Method,Answer Char-F1,Strict Macro Token-F1,Top1 Path Hit,Path Overlap F1,Path Exact Match,Grounded Answer Score,Structure-First Score,Uncertainty Match
Plain LLM,0.7574,0.1801,0.0000,0.0000,0.0000,0.0000,0.1515,0.0000
Standard RAG,0.6080,0.2794,1.0000,0.6543,0.0556,0.3979,0.5944,0.8333
RoG (reimpl.),0.7763,0.2042,0.8889,0.6476,0.1111,0.4971,0.6143,0.8889
KG$^2$RAG (reimpl.),0.7773,0.2045,1.0000,0.7370,0.3333,0.5771,0.7169,0.8889
EventRAG (reimpl.),0.7762,0.2313,0.9444,0.6519,0.1111,0.5038,0.6271,0.8889
E$^2$RAG (reimpl.),0.7701,0.2211,0.9444,0.7426,0.3889,0.5758,0.7177,0.8889
Ours,0.7983,0.2439,1.0000,1.0000,1.0000,0.7758,0.9552,0.9444
